MFG,Class,Description,Material,Material Brand,Product Name,Style,Filter,Coating,Coating Brand,GMN_OPC,Left OPC,Diameter,Sph/Base,Cyl/Add,Frnt Rad,Bck Rad,C Thk,E Thk,LRP In,LRP Down,d Index,N Ref,e Index,Abbe,Density,PRP Out,PRP Up,Seg Wd,Seg Thk,Int Ht,Slab,Car Rad,Bwl Diam,Ver Diam,Dia Diam,Seg Sep,Up Add,Special,Cat Code,Filter Brand,DRP In,DRP Up,NRP In,NRP Up,Hor Diam,Nom Diam,Obj Clear,Obj Rad
ZSS,FIN,ZEISS CLEARVIEW 1.50 UV PROTECT DURAVISION PLUS SILVER UV,PL,ADC,ZEISS CLEARVW SV,SV,UVRI,AR,DVS,7900984480,7900984480,70,-6.00,0.00,500.000,71.820,1.6,9.0,0.0,0.0,1.499,ND,1.501,58,1.32,0.0,0.0,,,,,,,70,,,,NTN,S70,UVPROTECT,,,,,70,70,,
ZSS,FIN,ZEISS CLEARVIEW 1.50 UV PROTECT DURAVISION PLUS SILVER UV,PL,ADC,ZEISS CLEARVW SV,SV,UVRI,AR,DVS,7900984472,7900984472,70,-5.75,-0.25,398.500,71.820,1.6,8.7,0.0,0.0,1.499,ND,1.501,58,1.32,0.0,0.0,,,,,,,70,,,,NTN,S70,UVPROTECT,,,,,70,70,,
ZSS,FIN,ZEISS CLEARVIEW 1.50 UV PROTECT DURAVISION PLUS SILVER UV,PL,ADC,ZEISS CLEARVW SV,SV,UVRI,AR,DVS,7900984464,7900984464,70,-5.75,0.00,398.500,71.820,1.6,8.7,0.0,0.0,1.499,ND,1.501,58,1.32,0.0,0.0,,,,,,,70,,,,NTN,S70,UVPROTECT,,,,,70,70,,
ZSS,FIN,ZEISS CLEARVIEW 1.50 UV PROTECT DURAVISION PLUS SILVER UV,PL,ADC,ZEISS CLEARVW SV,SV,UVRI,AR,DVS,7900984456,7900984456,70,-5.50,-0.50,333.330,71.820,1.6,8.4,0.0,0.0,1.499,ND,1.501,58,1.32,0.0,0.0,,,,,,,70,,,,NTN,S70,UVPROTECT,,,,,70,70,,
ZSS,FIN,ZEISS CLEARVIEW 1.50 UV PROTECT DURAVISION PLUS SILVER UV,PL,ADC,ZEISS CLEARVW SV,SV,UVRI,AR,DVS,7900984449,7900984449,70,-5.50,-0.25,333.330,71.820,1.6,8.4,0.0,0.0,1.499,ND,1.501,58,1.32,0.0,0.0,,,,,,,70,,,,NTN,S70,UVPROTECT,,,,,70,70,,
ZSS,FIN,ZEISS CLEARVIEW 1.50 UV PROTECT DURAVISION PLUS SILVER UV,PL,ADC,ZEISS CLEARVW SV,SV,UVRI,AR,DVS,7900984431,7900984431,70,-5.50,0.00,333.330,71.820,1.6,8.4,0.0,0.0,1.499,ND,1.501,58,1.32,0.0,0.0,,,,,,,70,,,,NTN,S70,UVPROTECT,,,,,70,70,,
ZSS,FIN,ZEISS CLEARVIEW 1.50 UV PROTECT DURAVISION PLUS SILVER UV,PL,ADC,ZEISS CLEARVW SV,SV,UVRI,AR,DVS,7900984423,7900984423,70,-5.25,-0.75,284.950,71.820,1.6,8.1,0.0,0.0,1.499,ND,1.501,58,1.32,0.0,0.0,,,,,,,70,,,,NTN,S70,UVPROTECT,,,,,70,70,,
ZSS,FIN,ZEISS CLEARVIEW 1.50 UV PROTECT DURAVISION PLUS SILVER UV,PL,ADC,ZEISS CLEARVW SV,SV,UVRI,AR,DVS,7900984415,7900984415,70,-5.25,-0.50,284.950,71.820,1.6,8.1,0.0,0.0,1.499,ND,1.501,58,1.32,0.0,0.0,,,,,,,70,,,,NTN,S70,UVPROTECT,,,,,70,70,,
ZSS,FIN,ZEISS CLEARVIEW 1.50 UV PROTECT DURAVISION PLUS SILVER UV,PL,ADC,ZEISS CLEARVW SV,SV,UVRI,AR,DVS,7900984407,7900984407,70,-5.25,-0.25,284.950,71.820,1.6,8.1,0.0,0.0,1.499,ND,1.501,58,1.32,0.0,0.0,,,,,,,70,,,,NTN,S70,UVPROTECT,,,,,70,70,,
ZSS,FIN,ZEISS CLEARVIEW 1.50 UV PROTECT DURAVISION PLUS SILVER UV,PL,ADC,ZEISS CLEARVW SV,SV,UVRI,AR,DVS,7900984399,7900984399,70,-5.25,0.00,284.950,71.820,1.6,8.1,0.0,0.0,1.499,ND,1.501,58,1.32,0.0,0.0,,,,,,,70,,,,NTN,S70,UVPROTECT,,,,,70,70,,
