MFG,Class,Description,Material,Material Brand,Product Name,Style,Filter,Coating,Coating Brand,Right OPC,Left OPC,Diameter,Sph / Base,Cyl / Add,Frnt Rad,Bck Rad,C Thk,E Thk,LRP In,LRP Down,d Index,N Ref,e Index,Abbe,Density,PRP Out,PRP Up,Seg Wd,Seg Thk,Int Ht,Slab,Car Rad,Bwl Diam,Ver Diam,Dia Diam,Seg Sep,Up Add,Special,Cat Code,Filter Brand,DRP In,DRP Up,NRP In,NRP Up,Hor Diam,Nom Diam,Obj Clear,Obj Rad
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594153,5402594146,80,0.50,1.00,913.790,92.170,10.5,18.0,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594179,5402594161,80,0.50,1.25,913.790,92.170,10.5,18.0,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594195,5402594187,80,0.50,1.50,913.790,92.170,10.5,18.0,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594211,5402594203,80,0.50,1.75,913.790,92.170,10.5,18.0,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594237,5402594229,80,0.50,2.00,913.790,92.170,10.5,18.0,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594252,5402594245,80,0.50,2.25,913.790,92.170,10.5,18.0,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594278,5402594260,80,0.50,2.50,913.790,92.170,10.5,18.0,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594294,5402594286,80,0.50,2.75,913.790,92.170,10.5,18.0,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594310,5402594302,80,0.50,3.00,913.790,92.170,10.5,18.0,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594336,5402594328,80,2.25,1.00,233.480,92.170,9.5,15.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594351,5402594344,80,2.25,1.25,233.480,92.170,9.5,15.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594377,5402594369,80,2.25,1.50,233.480,92.170,9.5,15.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594393,5402594385,80,2.25,1.75,233.480,92.170,9.5,15.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594419,5402594401,80,2.25,2.00,233.480,92.170,9.5,15.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594435,5402594427,80,2.25,2.25,233.480,92.170,9.5,15.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594450,5402594443,80,2.25,2.50,233.480,92.170,9.5,15.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594476,5402594468,80,2.25,2.75,233.480,92.170,9.5,15.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594492,5402594484,80,2.25,3.00,233.480,92.170,9.5,15.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594518,5402594500,80,4.50,1.00,117.780,92.170,8.5,10.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594534,5402594526,80,4.50,1.25,117.780,92.170,8.5,10.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594559,5402594542,80,4.50,1.50,117.780,92.170,8.5,10.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594575,5402594567,80,4.50,1.75,117.780,92.170,8.5,10.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594591,5402594583,80,4.50,2.00,117.780,92.170,8.5,10.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594617,5402594609,80,4.50,2.25,117.780,92.170,8.5,10.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
ZSS,SFN,ZEISS FLAT TOP 28 1.59 UVPROTECT,PY,POLYCARBONATE,FT 28 BIFOCAL,BI FT,NONE UVRI,SR,ZEISS HARD,5402594633,5402594625,80,4.50,2.50,117.780,92.170,8.5,10.5,6.0,6.0,1.586,ND,1.591,30,1.20,,,28.0,,,,,73,80,,,,LIP,A52,UV PROTECT,,,,,80,80,,
